source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other4,other5,other6,other7,other8,other9,other10,other1_def,other2_def,other3_def,other4_def,other5_def,other6_def,other7_def,other8_def,other9_def,other10_def,geometry_ref
25770989,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,2469935.78,,,1400000,m2,,2000000,T of waste,2023-11-08 00:00:00,,Bandeirantes,Sanitary Landfills,-23.42216056,-46.75544142,Waste Atlas,,nan,modeled,2013.0,Inactive,,,2000000.0,30000000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-46.75544142_-23.42216056
25772178,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,,170000,m2,,872893.07,T of waste,2023-11-08 00:00:00,,Ctr Candeias Landfill,Sanitary Landfills,-8.1633097297228,-34.9851036071777,Waste Atlas,,nan,modeled,2013.0,Active,,,766500.0,4000000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9851036071777_-8.1633097297228
25772178,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,38591.44,0.044211,T of CO2 per T of waste,170000,m2,,872893.07,T of waste,2023-11-08 00:00:00,,Ctr Candeias Landfill,Sanitary Landfills,-8.1633097297228,-34.9851036071777,Waste Atlas,,nan,modeled,2013.0,Active,,,766500.0,4000000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9851036071777_-8.1633097297228
25772178,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,170000,m2,,872893.07,T of waste,2023-11-08 00:00:00,,Ctr Candeias Landfill,Sanitary Landfills,-8.1633097297228,-34.9851036071777,Waste Atlas,,nan,modeled,2013.0,Active,,,766500.0,4000000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9851036071777_-8.1633097297228
25772178,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,1080560.24,,,170000,m2,,872893.07,T of waste,2023-11-08 00:00:00,,Ctr Candeias Landfill,Sanitary Landfills,-8.1633097297228,-34.9851036071777,Waste Atlas,,nan,modeled,2013.0,Active,,,766500.0,4000000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9851036071777_-8.1633097297228
25772178,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,3241680.73,,,170000,m2,,872893.07,T of waste,2023-11-08 00:00:00,,Ctr Candeias Landfill,Sanitary Landfills,-8.1633097297228,-34.9851036071777,Waste Atlas,,nan,modeled,2013.0,Active,,,766500.0,4000000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9851036071777_-8.1633097297228
25772179,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,,850000,m2,,614954.02,T of waste,2023-11-08 00:00:00,,Ctr-Pe,Sanitary Landfills,-7.71080277778,-34.9453888889,Waste Atlas,,nan,modeled,2013.0,Active,,,540000.0,570407.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9453888889_-7.71080277778
25772179,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,26302.02,0.042771,T of CO2 per T of waste,850000,m2,,614954.02,T of waste,2023-11-08 00:00:00,,Ctr-Pe,Sanitary Landfills,-7.71080277778,-34.9453888889,Waste Atlas,,nan,modeled,2013.0,Active,,,540000.0,570407.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9453888889_-7.71080277778
25772179,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,850000,m2,,614954.02,T of waste,2023-11-08 00:00:00,,Ctr-Pe,Sanitary Landfills,-7.71080277778,-34.9453888889,Waste Atlas,,nan,modeled,2013.0,Active,,,540000.0,570407.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9453888889_-7.71080277778
25772179,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,736456.61,,,850000,m2,,614954.02,T of waste,2023-11-08 00:00:00,,Ctr-Pe,Sanitary Landfills,-7.71080277778,-34.9453888889,Waste Atlas,,nan,modeled,2013.0,Active,,,540000.0,570407.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9453888889_-7.71080277778
