source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,geometry_ref
18654077,BRA,chemicals,2017-03-01 00:00:00,2017-03-31 00:00:00,month,ch4,,,"",,N/A,,68983,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2021-08-01 00:00:00,2021-08-31 00:00:00,month,ch4,,,"",,N/A,,82384,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2020-08-01 00:00:00,2020-08-31 00:00:00,month,ch4,,,"",,N/A,,82384,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-12-01 00:00:00,2022-12-31 00:00:00,month,ch4,,,"",,N/A,,72571,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-12-01 00:00:00,2022-12-31 00:00:00,month,co2,190136,2.62,"",,N/A,,72571,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-11-01 00:00:00,2022-11-30 00:00:00,month,co2e_20yr,208746,,,,N/A,,79674,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-11-01 00:00:00,2022-11-30 00:00:00,month,co2e_100yr,208746,,,,N/A,,79674,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-11-01 00:00:00,2022-11-30 00:00:00,month,n2o,,,"",,N/A,,79674,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-11-01 00:00:00,2022-11-30 00:00:00,month,ch4,,,"",,N/A,,79674,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2019-10-01 00:00:00,2019-10-31 00:00:00,month,ch4,,,"",,N/A,,83629,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-11-01 00:00:00,2022-11-30 00:00:00,month,co2,208746,2.62,"",,N/A,,79674,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-10-01 00:00:00,2022-10-31 00:00:00,month,co2e_20yr,214887,,,,N/A,,82018,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2018-01-01 00:00:00,2018-01-31 00:00:00,month,n2o,,,"",,N/A,,70374,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-10-01 00:00:00,2022-10-31 00:00:00,month,co2e_100yr,214887,,,,N/A,,82018,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-10-01 00:00:00,2022-10-31 00:00:00,month,n2o,,,"",,N/A,,82018,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2022-10-01 00:00:00,2022-10-31 00:00:00,month,ch4,,,"",,N/A,,82018,T of chemical,2023-10-18 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-01-01 00:00:00,2015-01-31 00:00:00,month,co2,186874,2.62,"",,N/A,,71326,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-01-01 00:00:00,2015-01-31 00:00:00,month,ch4,,,"",,N/A,,71326,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-01-01 00:00:00,2015-01-31 00:00:00,month,n2o,,,"",,N/A,,71326,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-01-01 00:00:00,2015-01-31 00:00:00,month,co2e_100yr,186874,,,,N/A,,71326,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-01-01 00:00:00,2015-01-31 00:00:00,month,co2e_20yr,186874,,,,N/A,,71326,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-02-01 00:00:00,2015-02-28 00:00:00,other,co2,173253,2.62,"",,N/A,,66127,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-02-01 00:00:00,2015-02-28 00:00:00,other,ch4,,,"",,N/A,,66127,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-02-01 00:00:00,2015-02-28 00:00:00,other,n2o,,,"",,N/A,,66127,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-02-01 00:00:00,2015-02-28 00:00:00,other,co2e_100yr,173253,,,,N/A,,66127,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-02-01 00:00:00,2015-02-28 00:00:00,other,co2e_20yr,173253,,,,N/A,,66127,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-03-01 00:00:00,2015-03-31 00:00:00,month,co2,185915,2.62,"",,N/A,,70960,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-03-01 00:00:00,2015-03-31 00:00:00,month,ch4,,,"",,N/A,,70960,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-03-01 00:00:00,2015-03-31 00:00:00,month,n2o,,,"",,N/A,,70960,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-03-01 00:00:00,2015-03-31 00:00:00,month,co2e_100yr,185915,,,,N/A,,70960,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-03-01 00:00:00,2015-03-31 00:00:00,month,co2e_20yr,185915,,,,N/A,,70960,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-04-01 00:00:00,2015-04-30 00:00:00,month,co2,173059,2.62,"",,N/A,,66053,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-04-01 00:00:00,2015-04-30 00:00:00,month,ch4,,,"",,N/A,,66053,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-04-01 00:00:00,2015-04-30 00:00:00,month,n2o,,,"",,N/A,,66053,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-04-01 00:00:00,2015-04-30 00:00:00,month,co2e_100yr,173059,,,,N/A,,66053,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-04-01 00:00:00,2015-04-30 00:00:00,month,co2e_20yr,173059,,,,N/A,,66053,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
