source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
18653500,Belem aluminium plant,BRA,aluminum,-1.5572746,-48.73547132820987,trace_-48.73547132820987_-1.5572746,owner,Albras,100001012414.0,100.0,Albras,100001012414,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.103631,,,{7061}
18653428,Pocos de Caldas Bauxite Mine and Alumina Refinery,BRA,aluminum,-21.8434,-46.5922,trace_-46.5922_-21.8434,owner,Alcoa,100001000636.0,,Alcoa Aluminio,100001012550,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.111739,,,{7061}
18653428,Pocos de Caldas Bauxite Mine and Alumina Refinery,BRA,aluminum,-21.8434,-46.5922,trace_-46.5922_-21.8434,owner,,,,Alcoa Aluminio,100001012550,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.111777,,,{7061}
18653476,Sao Luis Alumina Refinery and Aluminum Smelter,BRA,aluminum,-2.708176,-44.349249,trace_-44.349249_-2.708176,owner,Rio Tinto,100000001119.0,,Consorcio Alumar,100000120283,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.11073,,,"{6977,7061}"
18653476,Sao Luis Alumina Refinery and Aluminum Smelter,BRA,aluminum,-2.708176,-44.349249,trace_-44.349249_-2.708176,owner,Alcoa,100001000636.0,54.0,Consorcio Alumar,100000120283,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.110689,,,"{6977,7061}"
18653476,Sao Luis Alumina Refinery and Aluminum Smelter,BRA,aluminum,-2.708176,-44.349249,trace_-44.349249_-2.708176,owner,South32,100001010133.0,36.0,Consorcio Alumar,100000120283,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.11081,,,"{6977,7061}"
18653476,Sao Luis Alumina Refinery and Aluminum Smelter,BRA,aluminum,-2.708176,-44.349249,trace_-44.349249_-2.708176,owner,,,,Consorcio Alumar,100000120283,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.11077,,,"{6977,7061}"
18653501,Sorocaba aluminium plant,BRA,aluminum,-23.5003451,-47.4582864,trace_-47.4582864_-23.5003451,owner,CBA,100001012415.0,100.0,CBA,100001012415,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.10372,,,"{7061,34383}"
