source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,geometry_ref
18652432,BRA,pulp-and-paper,2022-01-01 00:00:00,2022-01-31 00:00:00,month,co2e_100yr,4245,,,,N/A,,7306,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
18652432,BRA,pulp-and-paper,2022-01-01 00:00:00,2022-01-31 00:00:00,month,co2e_20yr,4245,,,,N/A,,7306,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
18652432,BRA,pulp-and-paper,2021-01-01 00:00:00,2021-01-31 00:00:00,month,co2,4245,0.581,T of CO2 per T of Pulp & Paper (direct only),,N/A,,7306,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
18652432,BRA,pulp-and-paper,2020-01-01 00:00:00,2020-01-31 00:00:00,month,co2e_20yr,3955,,,,N/A,,6807,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
18652432,BRA,pulp-and-paper,2020-01-01 00:00:00,2020-01-31 00:00:00,month,co2e_100yr,3955,,,,N/A,,6807,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
18652432,BRA,pulp-and-paper,2017-01-01 00:00:00,2017-01-31 00:00:00,month,co2,3680,0.581,T of CO2 per T of Pulp & Paper (direct only),,N/A,,6334,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
18652432,BRA,pulp-and-paper,2017-01-01 00:00:00,2017-01-31 00:00:00,month,co2e_100yr,3680,,,,N/A,,6334,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
18652432,BRA,pulp-and-paper,2015-01-01 00:00:00,2015-01-31 00:00:00,month,co2,3267,0.581,T of CO2 per T of Pulp & Paper (direct only),,N/A,,5624,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
18652432,BRA,pulp-and-paper,2017-01-01 00:00:00,2017-01-31 00:00:00,month,co2e_20yr,3680,,,,N/A,,6334,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
18652432,BRA,pulp-and-paper,2018-01-01 00:00:00,2018-01-31 00:00:00,month,co2,3982,0.581,T of CO2 per T of Pulp & Paper (direct only),,N/A,,6854,T of pulp & paper,2023-10-10 00:00:00,2023-11-03 11:49:07.720112,Belo Oriente Pulp,Sulphate,-19.319844,-42.395166,trace_-42.395166_-19.319844
