source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other1_def,other2_def,other3_def,geometry_ref
3168804,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_100yr,44.85307148872523,8.859999999999662e-05,,1,flights,,14.083269694362274,T of fuel,2023-09-15 00:00:00,,Mário Pereira Lopes–São Carlos Airport,international,-21.875401,-47.903703,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-47.903703_-21.875401
3168804,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,44.86951095985581,8.859999999999662e-05,,1,flights,,14.083269694362274,T of fuel,2023-09-15 00:00:00,,Mário Pereira Lopes–São Carlos Airport,international,-21.875401,-47.903703,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-47.903703_-21.875401
3168804,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Mário Pereira Lopes–São Carlos Airport,international,-21.875401,-47.903703,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-47.903703_-21.875401
3168804,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Mário Pereira Lopes–São Carlos Airport,international,-21.875401,-47.903703,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-47.903703_-21.875401
3168423,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:25.711628,Senadora Eunice Micheles Airport,international,-3.46907,-68.921056,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-68.921056_-3.46907
3168423,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:25.711628,Senadora Eunice Micheles Airport,international,-3.46907,-68.921056,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-68.921056_-3.46907
3168423,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:25.711628,Senadora Eunice Micheles Airport,international,-3.46907,-68.921056,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-68.921056_-3.46907
3168423,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:25.711628,Senadora Eunice Micheles Airport,international,-3.46907,-68.921056,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-68.921056_-3.46907
3168423,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:25.711628,Senadora Eunice Micheles Airport,international,-3.46907,-68.921056,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-68.921056_-3.46907
3168819,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:28.207176,Leite Lopes Airport,international,-21.134314,-47.774053,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-47.774053_-21.134314
3168819,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:28.207176,Leite Lopes Airport,international,-21.134314,-47.774053,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-47.774053_-21.134314
3168819,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:28.207176,Leite Lopes Airport,international,-21.134314,-47.774053,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-47.774053_-21.134314
3168456,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:25.933703,Salinópolis Airport,international,-0.696111,-47.336111,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-47.336111_-0.696111
3168819,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:28.207176,Leite Lopes Airport,international,-21.134314,-47.774053,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-47.774053_-21.134314
