source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other1_def,other2_def,geometry_ref
104651,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,52.65335800346433,4.987348360161878e-09,T of N2O per VKT,8099.917094279348,km,10557385247.850489,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Goiânia Urban Area in Goiânia Municipality,"",-16.679448828943304,-49.283631176959865,BRA,Goiânia,iso3_country,asset_name,trace_-49.283631176959865_-16.679448828943304
104430,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,4623695.143319062,4.987348360161922e-09,,15361.130218933236,km,21986568105.81538,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Rio de Janeiro Urban Area in Rio de Janeiro Municipality,"",-22.909000064747385,-43.39583624007674,BRA,Rio de Janeiro,iso3_country,asset_name,trace_-43.39583624007674_-22.909000064747385
104550,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,55.03340065904354,4.987348360161873e-09,T of N2O per VKT,8793.24931698767,km,11034601292.069626,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Curitiba Urban Area in Curitiba Municipality,"",-25.46012625393555,-49.2826244293229,BRA,Curitiba,iso3_country,asset_name,trace_-49.2826244293229_-25.46012625393555
104651,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,2220179.64157505,4.987348360161878e-09,,8099.917094279348,km,10557385247.850489,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Goiânia Urban Area in Goiânia Municipality,"",-16.679448828943304,-49.283631176959865,BRA,Goiânia,iso3_country,asset_name,trace_-49.283631176959865_-16.679448828943304
104550,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,2329439.4776615994,4.987348360161873e-09,,8793.24931698767,km,11034601292.069626,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Curitiba Urban Area in Curitiba Municipality,"",-25.46012625393555,-49.2826244293229,BRA,Curitiba,iso3_country,asset_name,trace_-49.2826244293229_-25.46012625393555
104430,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,4641434.553760458,4.987348360161922e-09,,15361.130218933236,km,21986568105.81538,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Rio de Janeiro Urban Area in Rio de Janeiro Municipality,"",-22.909000064747385,-43.39583624007674,BRA,Rio de Janeiro,iso3_country,asset_name,trace_-43.39583624007674_-22.909000064747385
104430,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,4665274.097667579,4.987348360161922e-09,,15340.175863709266,km,22184284106.37678,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Rio de Janeiro Urban Area in Rio de Janeiro Municipality,"",-22.909000064747385,-43.39583624007674,BRA,Rio de Janeiro,iso3_country,asset_name,trace_-43.39583624007674_-22.909000064747385
104651,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,2228697.650806787,4.987348360161878e-09,,8099.917094279348,km,10557385247.850489,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Goiânia Urban Area in Goiânia Municipality,"",-16.679448828943304,-49.283631176959865,BRA,Goiânia,iso3_country,asset_name,trace_-49.283631176959865_-16.679448828943304
104550,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,2308908.174631041,0.0002084785757048,T of CO2 per VKT,8731.568975875096,km,11075038127.180365,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Curitiba Urban Area in Curitiba Municipality,"",-25.46012625393555,-49.2826244293229,BRA,Curitiba,iso3_country,asset_name,trace_-49.2826244293229_-25.46012625393555
104651,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,160.75357517958705,1.530985655430735e-08,T of CH4 per VKT,8099.207055586434,km,10500005314.181725,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Goiânia Urban Area in Goiânia Municipality,"",-16.679448828943304,-49.283631176959865,BRA,Goiânia,iso3_country,asset_name,trace_-49.283631176959865_-16.679448828943304
104550,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,2337975.8223436987,4.987348360161875e-09,,8731.568975875096,km,11075038127.180365,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Curitiba Urban Area in Curitiba Municipality,"",-25.46012625393555,-49.2826244293229,BRA,Curitiba,iso3_country,asset_name,trace_-49.2826244293229_-25.46012625393555
104651,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,2189026.1527935546,0.0002084785757048,T of CO2 per VKT,8099.207055586434,km,10500005314.181725,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Goiânia Urban Area in Goiânia Municipality,"",-16.679448828943304,-49.283631176959865,BRA,Goiânia,iso3_country,asset_name,trace_-49.283631176959865_-16.679448828943304
104550,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,2329040.155529004,4.987348360161875e-09,,8731.568975875096,km,11075038127.180365,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Curitiba Urban Area in Curitiba Municipality,"",-25.46012625393555,-49.2826244293229,BRA,Curitiba,iso3_country,asset_name,trace_-49.2826244293229_-25.46012625393555
104651,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,52.3671842853752,4.987348360161875e-09,T of N2O per VKT,8099.207055586434,km,10500005314.181725,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Goiânia Urban Area in Goiânia Municipality,"",-16.679448828943304,-49.283631176959865,BRA,Goiânia,iso3_country,asset_name,trace_-49.283631176959865_-16.679448828943304
104550,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,55.23507324232323,4.987348360161875e-09,T of N2O per VKT,8731.568975875096,km,11075038127.180365,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Curitiba Urban Area in Curitiba Municipality,"",-25.46012625393555,-49.2826244293229,BRA,Curitiba,iso3_country,asset_name,trace_-49.2826244293229_-25.46012625393555
104651,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,2208112.8506438145,4.987348360161875e-09,,8099.207055586434,km,10500005314.181725,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Goiânia Urban Area in Goiânia Municipality,"",-16.679448828943304,-49.283631176959865,BRA,Goiânia,iso3_country,asset_name,trace_-49.283631176959865_-16.679448828943304
104651,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,2216584.564055779,4.987348360161875e-09,,8099.207055586434,km,10500005314.181725,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Goiânia Urban Area in Goiânia Municipality,"",-16.679448828943304,-49.283631176959865,BRA,Goiânia,iso3_country,asset_name,trace_-49.283631176959865_-16.679448828943304
104550,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,169.5572450606161,1.5309856554307354e-08,T of CH4 per VKT,8731.568975875096,km,11075038127.180365,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Curitiba Urban Area in Curitiba Municipality,"",-25.46012625393555,-49.2826244293229,BRA,Curitiba,iso3_country,asset_name,trace_-49.2826244293229_-25.46012625393555
104684,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,2345133.6220217305,4.987348360161895e-09,,8287.966256623633,km,11151565684.930853,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Belo Horizonte Urban Area in Belo Horizonte Municipality,"",-19.89494390965445,-43.96112708839469,BRA,Belo Horizonte,iso3_country,asset_name,trace_-43.96112708839469_-19.89494390965445
104884,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,1525020.102114588,0.0002084785757048,T of CO2 per VKT,3992.69711988587,km,7314996742.273857,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,São Paulo Urban Area in Guarulhos Municipality,"",-23.436888944670102,-46.47312075976089,BRA,São Paulo,iso3_country,asset_name,trace_-46.47312075976089_-23.436888944670102
