source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other1_def,other2_def,other3_def,geometry_ref
3172158,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,0.17304511124791805,8.859999999999984e-05,T of N2O per T of fuel burned,1581,flights,,1953.1050930916294,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:00.861377,Humberto Ghizzo Bortoluzzi Regional Airport,domestic,-28.6753,-49.0596,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-49.0596_-28.6753
3172158,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,6220.342595619027,8.859999999999984e-05,,1581,flights,,1953.1050930916294,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:00.861377,Humberto Ghizzo Bortoluzzi Regional Airport,domestic,-28.6753,-49.0596,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-49.0596_-28.6753
3172158,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,6222.622464959718,8.859999999999984e-05,,1581,flights,,1953.1050930916294,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:00.861377,Humberto Ghizzo Bortoluzzi Regional Airport,domestic,-28.6753,-49.0596,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-49.0596_-28.6753
3172158,BRA,domestic-aviation,2023-01-01 00:00:00,2023-07-31 00:00:00,other,co2,3044.6163039773996,3.1600000000000006,T of CO2 per T of fuel burned,1038,flights,,963.4861721447465,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:00.861377,Humberto Ghizzo Bortoluzzi Regional Airport,domestic,-28.6753,-49.0596,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-49.0596_-28.6753
3172158,BRA,domestic-aviation,2023-01-01 00:00:00,2023-07-31 00:00:00,other,ch4,0.0213412187130054,2.2149999999999237e-05,T of CH4 per T of fuel burned,1038,flights,,963.4861721447465,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:00.861377,Humberto Ghizzo Bortoluzzi Regional Airport,domestic,-28.6753,-49.0596,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-49.0596_-28.6753
3172158,BRA,domestic-aviation,2023-01-01 00:00:00,2023-07-31 00:00:00,other,n2o,0.0853648748520235,8.859999999999891e-05,T of N2O per T of fuel burned,1038,flights,,963.4861721447465,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:00.861377,Humberto Ghizzo Bortoluzzi Regional Airport,domestic,-28.6753,-49.0596,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-49.0596_-28.6753
3172158,BRA,domestic-aviation,2023-01-01 00:00:00,2023-07-31 00:00:00,other,co2e_100yr,3068.5568831296496,8.859999999999891e-05,,1038,flights,,963.4861721447465,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:00.861377,Humberto Ghizzo Bortoluzzi Regional Airport,domestic,-28.6753,-49.0596,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-49.0596_-28.6753
3172158,BRA,domestic-aviation,2023-01-01 00:00:00,2023-07-31 00:00:00,other,co2e_20yr,3069.681565355825,8.859999999999891e-05,,1038,flights,,963.4861721447465,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:00.861377,Humberto Ghizzo Bortoluzzi Regional Airport,domestic,-28.6753,-49.0596,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-49.0596_-28.6753
3172182,BRA,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2,14861.41390501418,3.1599999999999997,T of CO2 per T of fuel burned,5286,flights,,4702.979083865247,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2023-01-01 00:00:00,2023-07-31 00:00:00,other,n2o,0.18550267770514395,8.859999999999885e-05,T of N2O per T of fuel burned,2893,flights,,2093.7096806449927,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2023-01-01 00:00:00,2023-07-31 00:00:00,other,ch4,0.04637566942628397,2.214999999999875e-05,T of CH4 per T of fuel burned,2893,flights,,2093.7096806449927,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2023-01-01 00:00:00,2023-07-31 00:00:00,other,co2,6616.122590838177,3.1599999999999997,T of CO2 per T of fuel burned,2893,flights,,2093.7096806449927,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,7639.924408160711,8.859999999999959e-05,,3981,flights,,2397.9560637719533,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,7637.12526205769,8.859999999999959e-05,,3981,flights,,2397.9560637719533,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,0.2124589072501941,8.859999999999959e-05,T of N2O per T of fuel burned,3981,flights,,2397.9560637719533,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,0.05311472681254784,2.2149999999999617e-05,T of CH4 per T of fuel burned,3981,flights,,2397.9560637719533,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,7577.5411615193725,3.16,T of CO2 per T of fuel burned,3981,flights,,2397.9560637719533,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,5187.494732801587,8.859999999999967e-05,,2238,flights,,1628.2077918230839,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,5185.594117705154,8.859999999999967e-05,,2238,flights,,1628.2077918230839,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,0.1442592103555247,8.859999999999967e-05,T of N2O per T of fuel burned,2238,flights,,1628.2077918230839,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,0.03606480258888075,2.2149999999999657e-05,T of CH4 per T of fuel burned,2238,flights,,1628.2077918230839,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
