reference_id,url,recency,created_date,modified_date
9776,https://www.gem.wiki/Suzano_Mucuri_power_station/,,2023-11-29 23:44:19.911354,
10554,https://www.gem.wiki/Parnaiba_power_station/,,2023-11-29 23:44:19.917808,
10466,https://www.gem.wiki/Sebastianópolis_II_power_station/,,2023-11-29 23:44:19.917081,
9255,https://www.gem.wiki/Luiz_Carlos_Prestes_power_station/,,2023-11-29 23:44:19.907018,
11328,https://www.gem.wiki/Mauá_3_power_station/,,2023-11-29 23:44:19.924277,
9362,https://www.gem.wiki/Nova_Piratininga_power_station/,,2023-11-29 23:44:19.907895,
10198,https://www.gem.wiki/Santa_Luzia_I_power_station/,,2023-11-29 23:44:19.914872,
11654,https://www.gem.wiki/Porsud_I_power_station/,,2023-11-29 23:44:19.926957,
11331,https://www.gem.wiki/Fibria_MS-II_power_station/,,2023-11-29 23:44:19.924302,
10197,https://www.gem.wiki/Conquista_do_Pontal_power_station/,,2023-11-29 23:44:19.914864,
11378,https://www.gem.wiki/Bracell_Star_power_station/,,2023-11-29 23:44:19.924693,
9231,https://www.gem.wiki/Norte_Fluminense_power_station/,,2023-11-29 23:44:19.906813,
10307,https://www.gem.wiki/Global_I_power_station/,,2023-11-29 23:44:19.915773,
9775,https://www.gem.wiki/Equipav_II_power_station/,,2023-11-29 23:44:19.911346,
9884,https://www.gem.wiki/Tambaqui_power_station/,,2023-11-29 23:44:19.91226,
10971,https://www.gem.wiki/Termomanaus_power_station/,,2023-11-29 23:44:19.921293,
9815,https://www.gem.wiki/Xavantes_Aruanã_power_station/,,2023-11-29 23:44:19.911686,
7305,https://www.gem.wiki/Jorge_Lacerda_power_station/,,2023-11-29 23:44:19.891073,
9938,https://www.gem.wiki/Porto_do_Pecém_power_station/,,2023-11-29 23:44:19.912721,
8980,https://www.gem.wiki/Araucária_power_station/,,2023-11-29 23:44:19.904741,
10745,https://www.gem.wiki/Tropical_Bioenergia_power_station/,,2023-11-29 23:44:19.919383,
10347,https://www.gem.wiki/Quirinópolis_power_station/,,2023-11-29 23:44:19.916107,
9774,https://www.gem.wiki/Delta_power_station/,,2023-11-29 23:44:19.911338,
11656,https://www.gem.wiki/Karkey_019_power_station/,,2023-11-29 23:44:19.926973,
11168,https://www.gem.wiki/Porto_de_Sergipe_power_station/,,2023-11-29 23:44:19.922951,
11332,https://www.gem.wiki/Amandina_power_station/,,2023-11-29 23:44:19.92431,
10530,https://www.gem.wiki/Barcarena_Alunorte_power_station/,,2023-11-29 23:44:19.917613,
11043,https://www.gem.wiki/Aracruz_power_station/,,2023-11-29 23:44:19.921903,
